id,name,gender,age,degree,stream,college_name,placement_status,salary,gpa,years_of_experience,10th %,SSC Board,12th %,HSC Board,12th Stream,specialisation,Mtech/MS
174,Sophia Price,Female,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,52,Others,52,Others,Science,Mkt&HR,59.32
175,Mason Parker,Male,23,Bachelor's,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2,73.24,Others,50.83,Others,Science,Mkt&Fin,66.23
176,Olivia Moore,Female,25,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,63,Others,62,Others,Science,Mkt&HR,60.69
177,William Hernandez,Male,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,59,Central,60,Others,Science,Mkt&HR,57.9
178,Amelia Rivera,Female,26,Bachelor's,Computer Science,University of Rochester,Placed,62000,3.8,3,73,Central,97,Others,Science,Mkt&Fin,70.81
179,Ethan Turner,Male,23,Bachelor's,Electrical Engineering,University of California--Santa Cruz,Placed,60000,3.7,2,68,Others,56,Others,Science,Mkt&HR,68.07
180,Isabella Perez,Female,25,Bachelor's,Mechanical Engineering,University of Connecticut,Placed,61000,3.5,1,77.8,Central,64,Central,Science,Mkt&HR,72.14
181,Daniel Martinez,Male,24,Bachelor's,Computer Science,University of California--Riverside,Not Placed,0,3.9,2,65,Central,71.5,Others,Science,Mkt&Fin,56.6
182,Mia Gonzalez,Female,26,Bachelor's,Electronics and Communication,University of Delaware,Placed,65000,3.7,1,62,Central,60.33,Others,Science,Mkt&HR,60.02
183,Alexander Rodriguez,Male,23,Bachelor's,Information Technology,University of California--San Francisco,Placed,66000,3.8,3,52,Others,65,Others,Science,Mkt&Fin,59.81
184,Olivia Moore,Female,25,Bachelor's,Computer Science,University of Texas--Dallas,Placed,63000,3.6,1,65,Central,77,Central,Science,Mkt&HR,61.82
185,Jack Bailey,Male,26,Bachelor's,Electrical Engineering,University of Virginia,Placed,64000,3.9,2,56.28,Others,62.83,Others,Science,Mkt&HR,57.29
186,Charlotte Ross,Female,24,Bachelor's,Mechanical Engineering,University of California--Santa Cruz,Not Placed,0,3.4,1,88,Central,72,Central,Science,Mkt&HR,71.43
187,Owen Brooks,Male,23,Bachelor's,Computer Science,University of California--San Diego,Placed,65000,3.7,2,52,Central,64,Central,Science,Mkt&Fin,62.93
188,Grace Watson,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,66000,3.8,3,78.5,Central,65.5,Central,Science,Mkt&Fin,64.86
189,Emma Brown,Female,23,Bachelor's,Information Technology,University of Maryland--College Park,Placed,61000,3.7,2,61.8,Others,47,Others,Science,Mkt&Fin,56.13
190,Noah Garcia,Male,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,64000,3.8,3,54,Central,77.6,Others,Science,Mkt&Fin,66.94
191,Sophia Martinez,Female,25,Bachelor's,Electrical Engineering,University of California--Los Angeles,Placed,66000,3.9,3,64,Others,70.2,Central,Science,Mkt&Fin,62.5
192,Liam Rodriguez,Male,26,Bachelor's,Mechanical Engineering,University of Virginia,Placed,67000,3.9,3,67,Others,61,Central,Science,Mkt&Fin,61.01
193,Olivia Smith,Female,24,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,68000,3.9,3,65.2,Central,61.4,Central,Science,Mkt&Fin,57.34
194,Ethan Johnson,Male,23,Bachelor's,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2,60,Central,63,Central,Science,Mkt&HR,56.63
195,Ava Williams,Female,25,Bachelor's,Information Technology,University of Washington,Placed,67000,3.8,3,52,Others,55,Others,Science,Mkt&Fin,64.74
196,Liam Brown,Male,26,Bachelor's,Electrical Engineering,University of California--Berkeley,Placed,66000,3.9,3,66,Central,76,Central,Science,Mkt&HR,58.95
197,Amelia Smith,Female,24,Bachelor's,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,72,Others,63,Others,Science,Mkt&Fin,54.48
198,William Garcia,Male,23,Bachelor's,Electronics and Communication,University of Colorado--Boulder,Placed,66000,3.7,2,83.96,Others,53,Others,Science,Mkt&HR,69.71
199,Olivia Brown,Female,25,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67,Central,70,Central,Science,Mkt&HR,71.96
200,Elijah Garcia,Male,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,69,Others,65,Others,Science,Mkt&HR,55.8
201,Emma Brown,Female,23,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,64000,3.8,3,69,Others,60,Others,Science,Mkt&Fin,52.81
202,Noah Garcia,Male,24,Bachelor's,Electrical Engineering,University of California--Los Angeles,Placed,66000,3.9,3,54.2,Central,63,Others,Science,Mkt&HR,58.44
203,Sophia Martinez,Female,25,Bachelor's,Mechanical Engineering,University of Virginia,Placed,67000,3.9,3,70,Central,63,Central,Science,Mkt&HR,60.11
204,Liam Rodriguez,Male,26,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,68000,3.9,3,55.68,Others,61.33,Others,Science,Mkt&HR,58.3
205,Olivia Smith,Female,24,Bachelor's,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2,74,Others,73,Others,Science,Mkt&Fin,67.69
206,Ethan Johnson,Male,23,Bachelor's,Information Technology,University of Washington,Placed,67000,3.8,3,61,Others,62,Others,Science,Mkt&Fin,56.81
207,Ava Williams,Female,25,Bachelor's,Electrical Engineering,University of California--Berkeley,Placed,66000,3.9,3,41,Central,42,Central,Science,Mkt&Fin,53.39
208,Liam Brown,Male,26,Bachelor's,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,83.33,Central,78,Others,Science,Mkt&Fin,71.55
209,Amelia Smith,Female,24,Bachelor's,Electronics and Communication,University of Colorado--Boulder,Placed,66000,3.7,2,43,Central,60,Others,Science,Mkt&HR,62.92
210,William Garcia,Male,23,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,62,Central,72,Central,Science,Mkt&Fin,56.49
211,Olivia Brown,Female,25,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,80.6,Others,82,Others,Science,Mkt&Fin,74.49
212,Elijah Garcia,Male,24,Bachelor's,Electrical Engineering,University of Michigan--Ann Arbor,Placed,64000,3.8,3,58,Others,60,Others,Science,Mkt&Fin,53.62
213,Emma Brown,Female,23,Bachelor's,Mechanical Engineering,University of California--Los Angeles,Placed,66000,3.9,3,67,Others,67,Others,Science,Mkt&Fin,69.72
214,Noah Garcia,Male,24,Bachelor's,Electronics and Communication,University of Virginia,Placed,67000,3.9,3,74,Others,66,Others,Science,Mkt&HR,60.23
215,Sophia Martinez,Female,25,Bachelor's,Computer Science,University of Texas--Austin,Placed,68000,3.9,3,62,Central,58,Others,Science,Mkt&HR,60.22
216,Liam Rodriguez,Male,26,Bachelor's,Information Technology,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
217,Olivia Smith,Female,24,Bachelor's,Electrical Engineering,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
218,Ethan Johnson,Male,23,Bachelor's,Mechanical Engineering,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
219,Ava Williams,Female,25,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
220,Liam Brown,Male,26,Bachelor's,Computer Science,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
221,Amelia Smith,Female,24,Bachelor's,Information Technology,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
222,William Garcia,Male,23,Bachelor's,Electrical Engineering,University of Maryland--College Park,Placed,63000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
223,Olivia Brown,Female,25,Bachelor's,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,64000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
224,Elijah Garcia,Male,24,Bachelor's,Electronics and Communication,University of California--Los Angeles,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
225,Emma Brown,Female,23,Bachelor's,Computer Science,University of Virginia,Placed,67000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
226,Noah Garcia,Male,24,Bachelor's,Information Technology,University of Texas--Austin,Placed,68000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
227,Sophia Martinez,Female,25,Bachelor's,Electrical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
228,Liam Rodriguez,Male,26,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
229,Olivia Smith,Female,24,Bachelor's,Electronics and Communication,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
230,Ethan Johnson,Male,23,Bachelor's,Computer Science,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
231,Ava Williams,Female,25,Bachelor's,Information Technology,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
232,Liam Brown,Male,26,Bachelor's,Electrical Engineering,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
233,Amelia Smith,Female,24,Bachelor's,Mechanical Engineering,University of Maryland--College Park,Placed,63000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
234,William Garcia,Male,23,Bachelor's,Electronics and Communication,University of Michigan--Ann Arbor,Placed,64000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
235,Olivia Brown,Female,25,Bachelor's,Computer Science,University of California--Los Angeles,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
236,Elijah Garcia,Male,24,Bachelor's,Information Technology,University of Virginia,Placed,67000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
237,Emma Brown,Female,23,Bachelor's,Electrical Engineering,University of Texas--Austin,Placed,68000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
238,Noah Garcia,Male,24,Bachelor's,Mechanical Engineering,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
239,Sophia Martinez,Female,25,Bachelor's,Electronics and Communication,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
240,Liam Rodriguez,Male,26,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
241,Olivia Smith,Female,24,Bachelor's,Information Technology,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
242,Ethan Johnson,Male,23,Bachelor's,Electrical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
243,Ava Williams,Female,25,Bachelor's,Mechanical Engineering,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
244,Liam Brown,Male,26,Bachelor's,Electronics and Communication,University of Maryland--College Park,Placed,63000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
245,Amelia Smith,Female,24,Bachelor's,Computer Science,University of Michigan--Ann Arbor,Placed,64000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
246,William Garcia,Male,23,Bachelor's,Information Technology,University of California--Los Angeles,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
247,Olivia Brown,Female,25,Bachelor's,Electrical Engineering,University of Virginia,Placed,67000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
248,Elijah Garcia,Male,24,Bachelor's,Mechanical Engineering,University of Texas--Austin,Placed,68000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
249,Emma Brown,Female,23,Bachelor's,Electronics and Communication,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
250,Noah Garcia,Male,24,Bachelor's,Computer Science,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
251,Sophia Martinez,Female,25,Bachelor's,Information Technology,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
252,Liam Rodriguez,Male,26,Bachelor's,Electrical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
253,Olivia Smith,Female,24,Bachelor's,Mechanical Engineering,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
254,Ethan Johnson,Male,23,Bachelor's,Electronics and Communication,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
255,Ava Williams,Female,25,Bachelor's,Computer Science,University of Maryland--College Park,Placed,63000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
256,Liam Brown,Male,26,Bachelor's,Information Technology,University of Michigan--Ann Arbor,Placed,64000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
257,Amelia Smith,Female,24,Bachelor's,Electrical Engineering,University of California--Los Angeles,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
258,William Garcia,Male,23,Bachelor's,Mechanical Engineering,University of Virginia,Placed,67000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
259,Olivia Brown,Female,25,Bachelor's,Electronics and Communication,University of Texas--Austin,Placed,68000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
260,Elijah Garcia,Male,24,Bachelor's,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
261,Emma Brown,Female,23,Bachelor's,Information Technology,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
262,Noah Garcia,Male,24,Bachelor's,Electrical Engineering,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
263,Sophia Martinez,Female,25,Bachelor's,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
264,Liam Rodriguez,Male,26,Bachelor's,Electronics and Communication,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
265,Olivia Smith,Female,24,Bachelor's,Computer Science,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
266,Ethan Johnson,Male,23,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
267,Ava Williams,Female,25,Bachelor's,Electrical Engineering,University of Michigan--Ann Arbor,Placed,64000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
268,Liam Brown,Male,26,Bachelor's,Mechanical Engineering,University of California--Los Angeles,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
269,Amelia Smith,Female,24,Bachelor's,Electronics and Communication,University of Virginia,Placed,67000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
270,William Garcia,Male,23,Bachelor's,Computer Science,University of Texas--Austin,Placed,68000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
271,Olivia Brown,Female,25,Bachelor's,Information Technology,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
272,Elijah Garcia,Male,24,Bachelor's,Electrical Engineering,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
273,Emma Brown,Female,23,Bachelor's,Mechanical Engineering,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
274,Noah Garcia,Male,24,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
275,Sophia Martinez,Female,25,Bachelor's,Computer Science,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
276,Liam Rodriguez,Male,24,Bachelor's,Computer Science,University of California--San Diego,Placed,64000,3.6,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
277,Emily Watson,Female,25,Bachelor's,Electrical Engineering,University of Texas--Austin,Placed,65000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
278,Nathan Garcia,Male,23,Bachelor's,Information Technology,University of California--Los Angeles,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
279,Sophia Hernandez,Female,26,Bachelor's,Mechanical Engineering,University of Michigan--Ann Arbor,Placed,68000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
280,Oliver Martinez,Male,24,Bachelor's,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
281,Amelia Lee,Female,25,Bachelor's,Electronics and Communication,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
282,Ethan Johnson,Male,23,Bachelor's,Information Technology,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
283,Isabella Smith,Female,26,Bachelor's,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
284,Aiden Brown,Male,24,Bachelor's,Computer Science,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
285,Sophia Jones,Female,25,Bachelor's,Electrical Engineering,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
286,Lucas Taylor,Male,23,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
287,Emma Martinez,Female,26,Bachelor's,Mechanical Engineering,University of Rochester,Placed,62000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
288,Aiden Davis,Male,24,Bachelor's,Computer Science,University of California--Santa Cruz,Placed,60000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
289,Mia Wilson,Female,23,Bachelor's,Electronics and Communication,University of Connecticut,Placed,61000,3.5,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
290,Jack Garcia,Male,26,Bachelor's,Information Technology,University of California--Riverside,Not Placed,0,3.9,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
291,Emma Lopez,Female,24,Bachelor's,Mechanical Engineering,University of Delaware,Placed,65000,3.7,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
292,Oliver Rodriguez,Male,23,Bachelor's,Computer Science,University of California--San Francisco,Placed,66000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
293,Chloe Hernandez,Female,26,Bachelor's,Electrical Engineering,University of Texas--Dallas,Placed,63000,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
294,Ava Lee,Female,24,Bachelor's,Information Technology,University of Virginia,Placed,64000,3.9,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
295,Liam Perez,Male,25,Bachelor's,Computer Science,University of California--Los Angeles,Placed,67000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
296,Isabella Martinez,Female,23,Bachelor's,Electronics and Communication,University of Michigan--Ann Arbor,Placed,68000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
297,Alexander Lee,Male,26,Bachelor's,Information Technology,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
298,Sophia Johnson,Female,24,Bachelor's,Mechanical Engineering,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
299,Lucas Taylor,Male,23,Bachelor's,Computer Science,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
300,Emma Martinez,Female,26,Bachelor's,Electronics and Communication,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
301,Aiden Davis,Male,24,Bachelor's,Computer Science,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
302,Mia Wilson,Female,23,Bachelor's,Electrical Engineering,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
303,Jack Garcia,Male,26,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
304,Emma Lopez,Female,24,Bachelor's,Mechanical Engineering,University of Rochester,Placed,62000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
305,Oliver Rodriguez,Male,23,Bachelor's,Computer Science,University of California--Santa Cruz,Placed,60000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
306,Chloe Hernandez,Female,26,Bachelor's,Electrical Engineering,University of Connecticut,Placed,61000,3.5,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
307,Ava Lee,Female,24,Bachelor's,Information Technology,University of California--Riverside,Not Placed,0,3.9,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
308,Liam Perez,Male,25,Bachelor's,Computer Science,University of Delaware,Placed,65000,3.7,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
309,Isabella Martinez,Female,23,Bachelor's,Electronics and Communication,University of California--San Francisco,Placed,66000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
310,Alexander Lee,Male,26,Bachelor's,Information Technology,University of Texas--Dallas,Placed,63000,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
311,Sophia Johnson,Female,24,Bachelor's,Mechanical Engineering,University of Virginia,Placed,64000,3.9,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
312,Lucas Taylor,Male,23,Bachelor's,Computer Science,University of California--Los Angeles,Placed,67000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
313,Emma Martinez,Female,26,Bachelor's,Electronics and Communication,University of Michigan--Ann Arbor,Placed,68000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
314,Aiden Davis,Male,24,Bachelor's,Computer Science,University of Pennsylvania,Not Placed,0,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
315,Mia Wilson,Female,23,Bachelor's,Electrical Engineering,University of Washington,Placed,67000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
316,Jack Garcia,Male,26,Bachelor's,Information Technology,University of California--Berkeley,Placed,66000,3.9,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
317,Emma Lopez,Female,24,Bachelor's,Mechanical Engineering,University of Illinois--Urbana-Champaign,Placed,65000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
318,Oliver Rodriguez,Male,23,Bachelor's,Computer Science,University of Colorado--Boulder,Placed,66000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
319,Chloe Hernandez,Female,26,Bachelor's,Electrical Engineering,University of North Carolina--Chapel Hill,Not Placed,0,3.6,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
320,Ava Lee,Female,24,Bachelor's,Information Technology,University of Maryland--College Park,Placed,63000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
321,Liam Perez,Male,25,Bachelor's,Computer Science,University of Rochester,Placed,62000,3.8,3,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
322,Isabella Martinez,Female,23,Bachelor's,Electronics and Communication,University of California--Santa Cruz,Placed,60000,3.7,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
323,Alexander Lee,Male,26,Bachelor's,Information Technology,University of Connecticut,Placed,61000,3.5,1,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
324,Sophia Johnson,Female,24,Bachelor's,Mechanical Engineering,University of California--Riverside,Not Placed,0,3.9,2,67.3033953488372,Central,66.3331627906977,Others,Science,Mkt&Fin,62.2781860465116
